
2023-11-05 13:06:53. Failed login attempt. User: jdoe@durhamcollege.ca.

2023-11-05 13:06:56. Successful sign in. User: jdoe@durhamcollege.ca.

2023-11-05 13:09:50. Successful sign out. User: jdoe@durhamcollege.ca. 

2023-11-05 13:09:54. Successful sign in. User: testemail@durhamcollege.ca.

2023-11-05 13:11:13. Successful sign out. User: testemail@durhamcollege.ca. 

2023-11-05 13:11:16. Successful sign in. User: jdoe@durhamcollege.ca.

2023-11-05 13:11:22. Successful sign out. User: jdoe@durhamcollege.ca. 

2023-11-05 13:14:24. Successful sign in. User: jdoe@durhamcollege.ca.

2023-11-05 14:02:29. Successful sign out. User: jdoe@durhamcollege.ca. 

2023-11-05 14:02:33. Successful sign in. User: testemail@durhamcollege.ca.

2023-11-05 14:05:59. Successful sign out. User: testemail@durhamcollege.ca. 
